10000 ciudades aleatorias
Presupuesto Alto
Tiempo: 0.00375281
Tiempo: 0.00316265
Tiempo: 0.00316068
Tiempo: 0.00338299
Tiempo: 0.00318935
Tiempo: 0.00316441
Tiempo: 0.00316514
Tiempo: 0.00316959
Tiempo: 0.0031654
Tiempo: 0.00317973
Tiempo: 0.00323691
Tiempo: 0.00317899
Tiempo: 0.00317221
Tiempo: 0.00343498
Tiempo: 0.00318284
Tiempo: 0.00317258
Tiempo: 0.00316628
Tiempo: 0.00316896
Tiempo: 0.00316207
Tiempo: 0.00318059
Tiempo: 0.00319341
Tiempo: 0.00317929
Tiempo: 0.00322551
Tiempo: 0.0031707
Tiempo: 0.00316648
Tiempo: 0.00317374
Tiempo: 0.00316736
Tiempo: 0.00316966
Tiempo: 0.00317156
Tiempo: 0.00316559
Tiempo: 0.00316465
Tiempo: 0.00317216
Tiempo: 0.00317633
Tiempo: 0.00318604
Tiempo: 0.00317855
Tiempo: 0.00317225
Tiempo: 0.00317203
Tiempo: 0.00317498
Tiempo: 0.00317327
Tiempo: 0.00316995
Tiempo: 0.00318628
Tiempo: 0.00317085
Tiempo: 0.00316025
Tiempo: 0.00316402
Tiempo: 0.00316794
Tiempo: 0.00315943
Tiempo: 0.00314662
Tiempo: 0.00315406
Tiempo: 0.00316365
Tiempo: 0.00314937
Tiempo: 0.00316981
Tiempo: 0.0031602
Tiempo: 0.00315987
Tiempo: 0.00316644
Tiempo: 0.00316146
Tiempo: 0.0031619
Tiempo: 0.0031899
Tiempo: 0.0031729
Tiempo: 0.00317131
Tiempo: 0.00317019
Tiempo: 0.00316948
Tiempo: 0.00316474
Tiempo: 0.00317628
Tiempo: 0.00316979
Tiempo: 0.00316957
Tiempo: 0.00317228
Tiempo: 0.00317741
Tiempo: 0.00317229
Tiempo: 0.00316748
Tiempo: 0.00316693
Tiempo: 0.00317264
Tiempo: 0.00319663
Tiempo: 0.00315689
Tiempo: 0.00317022
Tiempo: 0.00322288
Tiempo: 0.0031761
Tiempo: 0.00316845
Tiempo: 0.00317379
Tiempo: 0.00318523
Tiempo: 0.00317322
Tiempo: 0.00316199
Tiempo: 0.00316888
Tiempo: 0.00316105
Tiempo: 0.00316621
Tiempo: 0.00316317
Tiempo: 0.00316514
Tiempo: 0.00316237
Tiempo: 0.00317846
Tiempo: 0.00316157
Tiempo: 0.00316253
Tiempo: 0.00317482
Tiempo: 0.00317115
Tiempo: 0.00316166
Tiempo: 0.0031649
Tiempo: 0.0031598
Tiempo: 0.00316144
Tiempo: 0.0031662
Tiempo: 0.00316421
Tiempo: 0.00316537
Tiempo: 0.00316313
Tiempo: 0.0031664
Tiempo: 0.00319018
Tiempo: 0.00317636
Tiempo: 0.00317306
Tiempo: 0.00317715
Tiempo: 0.0031758
Tiempo: 0.00316423
Tiempo: 0.00317191
Tiempo: 0.00317452
Tiempo: 0.00316953
Tiempo: 0.0031627
Tiempo: 0.0031756
Tiempo: 0.00316462
Tiempo: 0.00317739
Tiempo: 0.00317307
Tiempo: 0.00315949
Tiempo: 0.00316627
Tiempo: 0.0031755
Tiempo: 0.00316192
Tiempo: 0.00316325
Tiempo: 0.00316328
Tiempo: 0.00316565
Tiempo: 0.00316352
Tiempo: 0.00315685
Tiempo: 0.00316136
Tiempo: 0.003173
Tiempo: 0.00316604
Tiempo: 0.00321688
Tiempo: 0.00316449
Tiempo: 0.00316868
Tiempo: 0.00316984
Tiempo: 0.0031638
Tiempo: 0.0031642
Tiempo: 0.00317069
Tiempo: 0.00317334
Tiempo: 0.00316957
Tiempo: 0.003183
Tiempo: 0.00316839
Tiempo: 0.00317717
Tiempo: 0.00317386
Tiempo: 0.00316909
Tiempo: 0.00316911
Tiempo: 0.00318419
Tiempo: 0.00317153
Tiempo: 0.00316759
Tiempo: 0.00317572
Tiempo: 0.00317104
Tiempo: 0.00317757
Tiempo: 0.00317996
Tiempo: 0.00317401
Tiempo: 0.00320201
Tiempo: 0.00323419
Tiempo: 0.00318515
Tiempo: 0.00318147
Tiempo: 0.00318122
Tiempo: 0.0031788
Tiempo: 0.00317268
Tiempo: 0.00317486
Tiempo: 0.00318805
Tiempo: 0.0031831
Tiempo: 0.003145
Tiempo: 0.00316157
Tiempo: 0.00314534
Tiempo: 0.00315674
Tiempo: 0.00315419
Tiempo: 0.00316047
Tiempo: 0.00314645
Tiempo: 0.00317055
Tiempo: 0.00317055
Tiempo: 0.00316165
Tiempo: 0.00318017
Tiempo: 0.0031795
Tiempo: 0.00319988
Tiempo: 0.0031787
Tiempo: 0.00318174
Tiempo: 0.00317251
Tiempo: 0.00318735
Tiempo: 0.0031725
Tiempo: 0.00317012
Tiempo: 0.00317431
Tiempo: 0.00316274
Tiempo: 0.00316722
Tiempo: 0.00318852
Tiempo: 0.00317008
Tiempo: 0.00316737
Tiempo: 0.0031817
Tiempo: 0.00315817
Tiempo: 0.00317411
Tiempo: 0.00316331
Tiempo: 0.00317784
Tiempo: 0.00316178
Tiempo: 0.00317115
Tiempo: 0.00316207
Tiempo: 0.00317944
Tiempo: 0.00316913
Tiempo: 0.00315586
Tiempo: 0.00316586
Tiempo: 0.0031608
Tiempo: 0.00316318
Tiempo: 0.0031462
Tiempo: 0.0031653
Tiempo: 0.00316368
Tiempo: 0.00317108
Tiempo: 0.00315786
Tiempo: 0.00316944
Tiempo: 0.00317159
Tiempo: 0.00320926
Tiempo: 0.00318915
Tiempo: 0.00316987
Tiempo: 0.00316958
Tiempo: 0.00318191
Tiempo: 0.0031707
Tiempo: 0.00316785
Tiempo: 0.00317493
Tiempo: 0.00316879
Tiempo: 0.0031671
Tiempo: 0.00317944
Tiempo: 0.00316439
Tiempo: 0.00316914
Tiempo: 0.00318327
Tiempo: 0.00317129
Tiempo: 0.00316291
Tiempo: 0.00316394
Tiempo: 0.00317215
Tiempo: 0.0031584
Tiempo: 0.00319084
Tiempo: 0.00316018
Tiempo: 0.00317271
Tiempo: 0.00316871
Tiempo: 0.00315898
Tiempo: 0.00316337
Tiempo: 0.00316015
Tiempo: 0.00322185
Tiempo: 0.00316364
Tiempo: 0.00317904
Tiempo: 0.00315881
Tiempo: 0.00317574
Tiempo: 0.00315333
Tiempo: 0.00316058
Tiempo: 0.00317012
Tiempo: 0.00317135
Tiempo: 0.00316304
Tiempo: 0.00315168
Tiempo: 0.00316917
Tiempo: 0.00315907
Tiempo: 0.00317196
Tiempo: 0.00318645
Tiempo: 0.00318799
Tiempo: 0.00316497
Tiempo: 0.00316129
Tiempo: 0.00317911
Tiempo: 0.00317679
Tiempo: 0.00316794
Tiempo: 0.00317068
Tiempo: 0.00316699
Tiempo: 0.00315616
Tiempo: 0.00317268
Tiempo: 0.0031673
Tiempo: 0.00321049
Tiempo: 0.0031904
Tiempo: 0.00317183
Tiempo: 0.00319564
Tiempo: 0.00320878
Tiempo: 0.0031735
Tiempo: 0.00317205
