500 ciudades aleatorias
Presupuesto Alto
Tiempo: 0.000264111
Tiempo: 0.000241868
Tiempo: 0.000242547
Tiempo: 0.000238927
Tiempo: 0.000241537
Tiempo: 0.000243192
Tiempo: 0.000241561
Tiempo: 0.000241394
Tiempo: 0.000238172
Tiempo: 0.000280589
Tiempo: 0.000209632
Tiempo: 0.000238854
Tiempo: 0.00023886
Tiempo: 0.000337207
Tiempo: 0.000239245
Tiempo: 0.000239266
Tiempo: 0.000241211
Tiempo: 0.000248526
Tiempo: 0.000289697
Tiempo: 0.000108912
Tiempo: 0.000189557
Tiempo: 0.000102958
Tiempo: 0.000285154
Tiempo: 0.000288607
Tiempo: 0.000241615
Tiempo: 0.000239783
Tiempo: 0.000240702
Tiempo: 0.000239389
Tiempo: 0.000239983
Tiempo: 0.000240147
Tiempo: 0.000240358
Tiempo: 0.000239259
Tiempo: 0.000276157
Tiempo: 0.000102973
Tiempo: 0.000103011
Tiempo: 0.000102703
Tiempo: 0.000102718
Tiempo: 0.000102783
Tiempo: 0.000102701
Tiempo: 0.000102642
Tiempo: 0.000102356
Tiempo: 0.000102773
Tiempo: 0.000102833
Tiempo: 0.000103124
Tiempo: 0.000102788
Tiempo: 0.00010284
Tiempo: 0.000102552
Tiempo: 0.000102857
Tiempo: 0.00010259
Tiempo: 0.000102687
Tiempo: 0.000102716
Tiempo: 0.000102728
Tiempo: 0.000102643
Tiempo: 0.000103432
Tiempo: 0.000103155
Tiempo: 0.000102767
Tiempo: 0.000102794
Tiempo: 0.000102826
Tiempo: 0.000102584
Tiempo: 0.000102419
Tiempo: 0.000117019
Tiempo: 0.000103427
Tiempo: 0.000102981
Tiempo: 0.000102851
Tiempo: 0.000103042
Tiempo: 0.000102619
Tiempo: 0.000102908
Tiempo: 0.000103221
Tiempo: 0.000102677
Tiempo: 0.000103134
Tiempo: 0.000102384
Tiempo: 0.000102855
Tiempo: 0.000108048
Tiempo: 0.000103058
Tiempo: 0.000102833
Tiempo: 0.000102676
Tiempo: 0.000102895
Tiempo: 0.000102868
Tiempo: 0.000102638
Tiempo: 0.000103006
Tiempo: 0.000102371
Tiempo: 0.000102676
Tiempo: 0.000103361
Tiempo: 0.000102557
Tiempo: 0.000102302
Tiempo: 0.000102741
Tiempo: 0.000103109
Tiempo: 0.000103344
Tiempo: 0.000115245
Tiempo: 0.00010307
Tiempo: 0.00010305
Tiempo: 0.000102991
Tiempo: 0.000102969
Tiempo: 0.000102774
Tiempo: 0.000102824
Tiempo: 0.000102142
Tiempo: 0.000102785
Tiempo: 0.000102627
Tiempo: 0.000102456
Tiempo: 0.000102583
Tiempo: 0.000103182
Tiempo: 0.000102907
Tiempo: 0.000102768
Tiempo: 0.000102847
Tiempo: 0.00010333
Tiempo: 0.000102612
Tiempo: 0.000102674
Tiempo: 0.000103841
Tiempo: 0.000103369
Tiempo: 0.000103841
Tiempo: 0.000113433
Tiempo: 0.000141772
Tiempo: 0.00011293
Tiempo: 0.000102802
Tiempo: 0.000102717
Tiempo: 0.000120853
Tiempo: 0.00010295
Tiempo: 0.000102735
Tiempo: 0.000102839
Tiempo: 0.000102299
Tiempo: 0.000113168
Tiempo: 0.000103172
Tiempo: 0.000103739
Tiempo: 0.000103114
Tiempo: 0.000103331
Tiempo: 0.000103218
Tiempo: 0.000114684
Tiempo: 0.000108926
Tiempo: 0.000118744
Tiempo: 0.000102881
Tiempo: 0.000102514
Tiempo: 0.000102895
Tiempo: 0.00010276
Tiempo: 0.00010268
Tiempo: 0.000102578
Tiempo: 0.000103187
Tiempo: 0.000102837
Tiempo: 0.00010274
Tiempo: 0.000102861
Tiempo: 0.000102643
Tiempo: 0.000102653
Tiempo: 0.000105392
Tiempo: 0.000118939
Tiempo: 0.000106537
Tiempo: 0.000102703
Tiempo: 0.000102699
Tiempo: 0.000102705
Tiempo: 0.00010245
Tiempo: 0.000102838
Tiempo: 0.0001031
Tiempo: 0.000102575
Tiempo: 0.000102552
Tiempo: 0.000102665
Tiempo: 0.000103126
Tiempo: 0.000102679
Tiempo: 0.000102601
Tiempo: 0.000102555
Tiempo: 0.000102727
Tiempo: 0.000103264
Tiempo: 0.000103112
Tiempo: 0.000103069
Tiempo: 0.00010282
Tiempo: 0.000102658
Tiempo: 0.000102988
Tiempo: 0.000102755
Tiempo: 0.000102868
Tiempo: 0.000102722
Tiempo: 0.000103081
Tiempo: 0.000102641
Tiempo: 0.000103308
Tiempo: 0.000102735
Tiempo: 0.000118557
Tiempo: 0.000103534
Tiempo: 0.000102452
Tiempo: 0.000102917
Tiempo: 0.000102708
Tiempo: 0.000102639
Tiempo: 0.000103045
Tiempo: 0.00010236
Tiempo: 0.0001031
Tiempo: 0.000102775
Tiempo: 0.000102734
Tiempo: 0.000102688
Tiempo: 0.000102965
Tiempo: 0.000102912
Tiempo: 0.00010242
Tiempo: 0.00010271
Tiempo: 0.000102395
Tiempo: 0.000102668
Tiempo: 0.000102705
Tiempo: 0.000102736
Tiempo: 0.000102903
Tiempo: 0.000102728
Tiempo: 0.000102981
Tiempo: 0.000102554
Tiempo: 0.000102574
Tiempo: 0.000102738
Tiempo: 0.000102632
Tiempo: 0.000102802
Tiempo: 0.000121664
Tiempo: 0.000103176
Tiempo: 0.000103183
Tiempo: 0.000102402
Tiempo: 0.000102982
Tiempo: 0.000102626
Tiempo: 0.000102911
Tiempo: 0.000102891
Tiempo: 0.000102567
Tiempo: 0.00010249
Tiempo: 0.000102956
Tiempo: 0.000102753
Tiempo: 0.000102747
Tiempo: 0.000103044
Tiempo: 0.000102454
Tiempo: 0.000116365
Tiempo: 0.000103642
Tiempo: 0.000102598
Tiempo: 0.000102947
Tiempo: 0.000102485
Tiempo: 0.000102549
Tiempo: 0.000102973
Tiempo: 0.000103118
Tiempo: 0.000102202
Tiempo: 0.000102046
Tiempo: 0.000102506
Tiempo: 0.00010303
Tiempo: 0.000102923
Tiempo: 0.00011717
Tiempo: 0.000102931
Tiempo: 0.000102608
Tiempo: 0.000122972
Tiempo: 0.000103014
Tiempo: 0.00010239
Tiempo: 0.000102667
Tiempo: 0.000102672
Tiempo: 0.000102585
Tiempo: 0.000102591
Tiempo: 0.000102529
Tiempo: 0.000102684
Tiempo: 0.000102981
Tiempo: 0.000102932
Tiempo: 0.000102481
Tiempo: 0.000102384
Tiempo: 0.000102981
Tiempo: 0.000103038
Tiempo: 0.000102692
Tiempo: 0.000102849
Tiempo: 0.000102782
Tiempo: 0.000102705
Tiempo: 0.000102628
Tiempo: 0.000102626
Tiempo: 0.000102778
Tiempo: 0.000102142
Tiempo: 0.000102823
Tiempo: 0.00010241
Tiempo: 0.00010277
Tiempo: 0.000102999
Tiempo: 0.000103092
Tiempo: 0.000102645
Tiempo: 0.000103044
Tiempo: 0.000110154
Tiempo: 0.000103149
Tiempo: 0.000103387
Tiempo: 0.000102971
Tiempo: 0.000102867
Tiempo: 0.000102882
Tiempo: 0.000102547
Tiempo: 0.000102906
Tiempo: 0.00010261
Tiempo: 0.000102931
Tiempo: 0.000102625
Tiempo: 0.000102642
Tiempo: 0.000102919
Tiempo: 0.000102653
Tiempo: 0.000102844
Tiempo: 0.000102872
Tiempo: 0.000103068
Tiempo: 0.000102761
Tiempo: 0.000102607
Tiempo: 0.000102779
Tiempo: 0.000102695
Tiempo: 0.000102645
Tiempo: 0.000102826
Tiempo: 0.000102826
Tiempo: 0.000122002
Tiempo: 0.000103392
Tiempo: 0.00011363
Tiempo: 0.000103519
Tiempo: 0.000102836
Tiempo: 0.000102495
Tiempo: 0.0001026
Tiempo: 0.000102617
Tiempo: 0.000102867
Tiempo: 0.000102575
Tiempo: 0.000103127
Tiempo: 0.000109527
Tiempo: 0.000102972
Tiempo: 0.000102708
Tiempo: 0.000102411
Tiempo: 0.000102887
Tiempo: 0.000102882
Tiempo: 0.000102516
Tiempo: 0.000102767
Tiempo: 0.000102694
Tiempo: 0.000102381
Tiempo: 0.000102693
Tiempo: 0.000102598
Tiempo: 0.000103104
Tiempo: 0.000102761
Tiempo: 0.000103336
Tiempo: 0.000103202
Tiempo: 0.000102663
Tiempo: 0.000119005
Tiempo: 0.00010269
Tiempo: 0.000102919
Tiempo: 0.000102958
Tiempo: 0.000102772
Tiempo: 0.000102496
Tiempo: 0.000102646
Tiempo: 0.000102589
Tiempo: 0.000102991
Tiempo: 0.000103039
Tiempo: 0.000102634
Tiempo: 0.000102547
Tiempo: 0.00010266
Tiempo: 0.000102812
Tiempo: 0.000103007
Tiempo: 0.000102298
Tiempo: 0.000102834
Tiempo: 0.000102642
Tiempo: 0.000103268
Tiempo: 0.000102317
Tiempo: 0.000103024
Tiempo: 0.000103001
Tiempo: 0.00010273
Tiempo: 0.00010234
Tiempo: 0.000102533
Tiempo: 0.000102298
Tiempo: 0.000102573
Tiempo: 0.00010254
Tiempo: 0.00011622
Tiempo: 0.000103288
Tiempo: 0.000102987
Tiempo: 0.000102544
Tiempo: 0.000103064
Tiempo: 0.000102861
Tiempo: 0.00010307
Tiempo: 0.000102394
Tiempo: 0.000123317
Tiempo: 0.000103276
Tiempo: 0.000102461
Tiempo: 0.000102121
Tiempo: 0.00010262
Tiempo: 0.000102943
Tiempo: 0.000102741
Tiempo: 0.000102554
Tiempo: 0.000102269
Tiempo: 0.000102863
Tiempo: 0.000113934
Tiempo: 0.000103319
Tiempo: 0.000102837
Tiempo: 0.000102908
Tiempo: 0.000103085
Tiempo: 0.000102361
Tiempo: 0.000102985
Tiempo: 0.000103221
Tiempo: 0.000102716
Tiempo: 0.000102831
Tiempo: 0.000122712
Tiempo: 0.000103253
Tiempo: 0.00010265
Tiempo: 0.000102636
Tiempo: 0.000102905
Tiempo: 0.00010248
Tiempo: 0.000103373
Tiempo: 0.000102765
Tiempo: 0.000102255
Tiempo: 0.000102958
Tiempo: 0.000102579
Tiempo: 0.000102603
Tiempo: 0.000102785
Tiempo: 0.000102508
Tiempo: 0.000102626
Tiempo: 0.000102859
Tiempo: 0.000102826
Tiempo: 0.000102613
Tiempo: 0.000102382
Tiempo: 0.000102551
Tiempo: 0.000103033
Tiempo: 0.000102614
Tiempo: 0.000103256
Tiempo: 0.000102722
Tiempo: 0.000102574
Tiempo: 0.000103048
Tiempo: 0.000102395
Tiempo: 0.000103134
Tiempo: 0.000102782
Tiempo: 0.000102842
Tiempo: 0.000102956
Tiempo: 0.000102744
Tiempo: 0.000102963
Tiempo: 0.000102589
Tiempo: 0.0001027
Tiempo: 0.000102751
Tiempo: 0.000102865
Tiempo: 0.000103092
Tiempo: 0.000102911
Tiempo: 0.000103343
Tiempo: 0.000102987
Tiempo: 0.000102865
Tiempo: 0.000102919
Tiempo: 0.00010262
Tiempo: 0.000102544
Tiempo: 0.000102743
Tiempo: 0.000103031
Tiempo: 0.000102693
Tiempo: 0.000102862
Tiempo: 0.000102726
Tiempo: 0.000101962
Tiempo: 0.000102465
Tiempo: 0.000102564
Tiempo: 0.000102466
Tiempo: 0.000103141
Tiempo: 0.000102781
Tiempo: 0.000102666
Tiempo: 0.00011647
Tiempo: 0.000103151
Tiempo: 0.000103169
Tiempo: 0.000102359
Tiempo: 0.000102907
Tiempo: 0.000116256
Tiempo: 0.000102529
Tiempo: 0.000103241
Tiempo: 0.000102915
Tiempo: 0.000102931
Tiempo: 0.000102988
Tiempo: 0.000102575
Tiempo: 0.000102883
Tiempo: 0.000103306
Tiempo: 0.000102973
Tiempo: 0.000102735
Tiempo: 0.000102822
Tiempo: 0.000103009
Tiempo: 0.000102762
Tiempo: 0.000103194
Tiempo: 0.000102909
Tiempo: 0.000102857
Tiempo: 0.000103059
Tiempo: 0.00010284
Tiempo: 0.000102627
Tiempo: 0.000102908
Tiempo: 0.00010267
Tiempo: 0.000102767
Tiempo: 0.000121885
Tiempo: 0.000102974
Tiempo: 0.000103069
Tiempo: 0.000102793
Tiempo: 0.000102846
Tiempo: 0.000102997
Tiempo: 0.000103137
Tiempo: 0.000102641
Tiempo: 0.000103005
Tiempo: 0.000102695
Tiempo: 0.000102763
Tiempo: 0.000103048
Tiempo: 0.00010346
Tiempo: 0.000102249
Tiempo: 0.000103134
Tiempo: 0.000103262
Tiempo: 0.000102882
Tiempo: 0.000102237
Tiempo: 0.000102716
Tiempo: 0.00010273
Tiempo: 0.000102451
Tiempo: 0.000102393
Tiempo: 0.000103015
Tiempo: 0.000102949
Tiempo: 0.000102808
Tiempo: 0.000102857
Tiempo: 0.00010295
Tiempo: 0.000102665
Tiempo: 0.000102939
Tiempo: 0.000103137
Tiempo: 0.000103094
Tiempo: 0.000102997
Tiempo: 0.000103248
Tiempo: 0.00010285
Tiempo: 0.000102839
Tiempo: 0.000102698
Tiempo: 0.000102922
Tiempo: 0.00010295
Tiempo: 0.000102806
Tiempo: 0.000103063
Tiempo: 0.000102701
Tiempo: 0.000102555
Tiempo: 0.000102863
Tiempo: 0.000102545
Tiempo: 0.000102828
Tiempo: 0.000103004
Tiempo: 0.000102887
Tiempo: 0.000102495
Tiempo: 0.000102441
Tiempo: 0.000115675
Tiempo: 0.000103924
Tiempo: 0.000102939
Tiempo: 0.000102474
Tiempo: 0.000103044
Tiempo: 0.000102912
Tiempo: 0.000102294
Tiempo: 0.000102862
Tiempo: 0.000102899
Tiempo: 0.00010249
Tiempo: 0.000102459
Tiempo: 0.000102603
Tiempo: 0.000102466
Tiempo: 0.000102479
Tiempo: 0.000102899
Tiempo: 0.000102642
Tiempo: 0.000102619
