100000 ciudades aleatorias
Presupuesto Alto
Tiempo: 0.0443513
Tiempo: 0.0385273
Tiempo: 0.0385217
Tiempo: 0.0387539
Tiempo: 0.0386247
Tiempo: 0.0386446
Tiempo: 0.0386791
Tiempo: 0.0385331
Tiempo: 0.0386466
Tiempo: 0.0386882
Tiempo: 0.038879
Tiempo: 0.038631
Tiempo: 0.0386462
Tiempo: 0.0386023
Tiempo: 0.038614
Tiempo: 0.0386713
Tiempo: 0.0386046
Tiempo: 0.0386038
Tiempo: 0.0386744
Tiempo: 0.0386218
Tiempo: 0.0386226
Tiempo: 0.0386952
Tiempo: 0.0407611
Tiempo: 0.0388633
Tiempo: 0.0409028
Tiempo: 0.0385995
Tiempo: 0.0427109
Tiempo: 0.0386535
Tiempo: 0.0385672
Tiempo: 0.0385359
Tiempo: 0.0386956
Tiempo: 0.0388363
Tiempo: 0.0386141
Tiempo: 0.0386558
Tiempo: 0.038628
Tiempo: 0.0385847
Tiempo: 0.0389111
Tiempo: 0.0385578
Tiempo: 0.0386535
Tiempo: 0.0387657
Tiempo: 0.0385863
Tiempo: 0.0385953
Tiempo: 0.0387298
Tiempo: 0.038588
Tiempo: 0.0386119
Tiempo: 0.038679
Tiempo: 0.0385801
Tiempo: 0.0385224
Tiempo: 0.0387315
Tiempo: 0.0387796
Tiempo: 0.038591
Tiempo: 0.0387324
Tiempo: 0.0385309
Tiempo: 0.0385816
Tiempo: 0.0387393
Tiempo: 0.0386107
Tiempo: 0.0386284
Tiempo: 0.0386666
Tiempo: 0.0386311
Tiempo: 0.0385752
Tiempo: 0.0386711
Tiempo: 0.0388328
Tiempo: 0.0388844
Tiempo: 0.0385851
Tiempo: 0.0386015
Tiempo: 0.0386392
Tiempo: 0.0386796
Tiempo: 0.0386442
Tiempo: 0.0385821
Tiempo: 0.0387372
Tiempo: 0.0385414
Tiempo: 0.0385695
Tiempo: 0.0386932
Tiempo: 0.0385922
Tiempo: 0.0388307
Tiempo: 0.0386898
Tiempo: 0.0385726
Tiempo: 0.0386062
Tiempo: 0.0386782
Tiempo: 0.0385891
Tiempo: 0.0385972
Tiempo: 0.0386401
Tiempo: 0.0385839
Tiempo: 0.038603
Tiempo: 0.0386776
Tiempo: 0.0385729
Tiempo: 0.0385072
Tiempo: 0.0390553
Tiempo: 0.0385726
Tiempo: 0.0386218
Tiempo: 0.0387588
Tiempo: 0.0385758
Tiempo: 0.0385624
Tiempo: 0.0386877
Tiempo: 0.0385798
Tiempo: 0.0385794
Tiempo: 0.0385952
Tiempo: 0.0386115
Tiempo: 0.038577
Tiempo: 0.0386934
Tiempo: 0.0386828
Tiempo: 0.0386272
Tiempo: 0.0386838
Tiempo: 0.0385941
Tiempo: 0.0387853
Tiempo: 0.0385853
Tiempo: 0.0385031
Tiempo: 0.0384951
Tiempo: 0.0386594
Tiempo: 0.0385853
Tiempo: 0.0386264
Tiempo: 0.0386661
Tiempo: 0.03851
Tiempo: 0.0386432
Tiempo: 0.0385913
Tiempo: 0.0384976
Tiempo: 0.038475
Tiempo: 0.0385799
Tiempo: 0.0385167
Tiempo: 0.0384967
Tiempo: 0.0385256
Tiempo: 0.0385184
Tiempo: 0.0385017
Tiempo: 0.0387556
Tiempo: 0.038638
Tiempo: 0.0386
Tiempo: 0.0386951
Tiempo: 0.0384785
Tiempo: 0.0385219
Tiempo: 0.0386448
Tiempo: 0.0385234
Tiempo: 0.0400754
Tiempo: 0.0412396
Tiempo: 0.0387269
Tiempo: 0.0386073
Tiempo: 0.038582
Tiempo: 0.038658
Tiempo: 0.0385901
Tiempo: 0.0391841
Tiempo: 0.0386451
Tiempo: 0.0386331
Tiempo: 0.0386272
Tiempo: 0.0386303
Tiempo: 0.0385931
Tiempo: 0.0386189
Tiempo: 0.0386288
Tiempo: 0.0385848
Tiempo: 0.0386569
Tiempo: 0.0386494
Tiempo: 0.038607
Tiempo: 0.0385973
Tiempo: 0.0391708
Tiempo: 0.0387217
Tiempo: 0.0386397
