Con poda
Tablero de 3x3 con 2 caballos preubicados
Tiempo: 2.2642e-05
Tiempo: 2.09e-05
Tiempo: 1.9931e-05
Tiempo: 2.0045e-05
Tiempo: 1.9935e-05
Tiempo: 1.9871e-05
Tiempo: 1.9871e-05
Tiempo: 2.0018e-05
Tiempo: 1.9958e-05
Tiempo: 1.9868e-05
Tiempo: 1.9929e-05
Tiempo: 1.9785e-05
Tiempo: 1.9925e-05
Tiempo: 1.9829e-05
Tiempo: 1.9874e-05
Tiempo: 1.9817e-05
Tiempo: 1.9904e-05
Tiempo: 1.9811e-05
Tiempo: 1.9907e-05
Tiempo: 1.9808e-05
Tiempo: 1.9925e-05
Tiempo: 1.9853e-05
Tiempo: 1.9856e-05
Tiempo: 1.9859e-05
Tiempo: 1.9905e-05
Tiempo: 1.9811e-05
Tiempo: 1.9916e-05
Tiempo: 1.9802e-05
Tiempo: 1.9922e-05
Tiempo: 1.9871e-05
Tiempo: 1.9919e-05
Tiempo: 1.9811e-05
Tiempo: 1.9919e-05
Tiempo: 1.9868e-05
Tiempo: 1.9881e-05
Tiempo: 1.9802e-05
Tiempo: 1.9901e-05
Tiempo: 1.9844e-05
Tiempo: 1.9886e-05
Tiempo: 1.9835e-05
Tiempo: 1.9886e-05
Tiempo: 1.976e-05
Tiempo: 1.9862e-05
Tiempo: 1.9775e-05
Tiempo: 1.9763e-05
Tiempo: 1.976e-05
Tiempo: 1.9901e-05
Tiempo: 1.9811e-05
Tiempo: 1.9881e-05
Tiempo: 1.9821e-05
Tiempo: 1.9877e-05
Tiempo: 1.979e-05
Tiempo: 1.9862e-05
Tiempo: 1.9736e-05
Tiempo: 1.9808e-05
Tiempo: 1.9829e-05
Tiempo: 1.9886e-05
Tiempo: 1.9796e-05
Tiempo: 1.9901e-05
Tiempo: 1.9832e-05
Tiempo: 1.9811e-05
Tiempo: 1.9799e-05
Tiempo: 1.9904e-05
Tiempo: 1.9757e-05
Tiempo: 1.9889e-05
Tiempo: 1.9778e-05
Tiempo: 1.9796e-05
Tiempo: 1.9808e-05
Tiempo: 1.9901e-05
Tiempo: 0.000110893
Tiempo: 2.0478e-05
Tiempo: 1.9733e-05
Tiempo: 1.9627e-05
Tiempo: 1.9784e-05
Tiempo: 1.9703e-05
Tiempo: 1.9694e-05
Tiempo: 1.9814e-05
Tiempo: 1.9802e-05
Tiempo: 1.9715e-05
Tiempo: 1.9703e-05
Tiempo: 1.9823e-05
Tiempo: 1.9721e-05
Tiempo: 1.9817e-05
Tiempo: 1.9712e-05
Tiempo: 1.9832e-05
Tiempo: 1.97e-05
Tiempo: 1.9835e-05
Tiempo: 1.9748e-05
Tiempo: 1.9805e-05
Tiempo: 1.9769e-05
Tiempo: 1.9844e-05
Tiempo: 1.9727e-05
Tiempo: 1.9817e-05
Tiempo: 1.9718e-05
Tiempo: 1.9817e-05
Tiempo: 1.9646e-05
Tiempo: 1.9808e-05
Tiempo: 1.9712e-05
Tiempo: 1.9811e-05
Tiempo: 1.9727e-05
Tiempo: 1.9811e-05
Tiempo: 1.9664e-05
Tiempo: 1.9754e-05
Tiempo: 1.9712e-05
Tiempo: 1.9814e-05
Tiempo: 1.9715e-05
Tiempo: 1.982e-05
Tiempo: 1.9673e-05
Tiempo: 1.9805e-05
Tiempo: 1.9718e-05
Tiempo: 1.9814e-05
Tiempo: 1.9709e-05
Tiempo: 1.9812e-05
Tiempo: 1.9727e-05
Tiempo: 1.9808e-05
Tiempo: 1.9706e-05
Tiempo: 1.9814e-05
Tiempo: 1.9661e-05
Tiempo: 1.9754e-05
Tiempo: 1.9682e-05
Tiempo: 1.9754e-05
Tiempo: 1.9709e-05
Tiempo: 1.9817e-05
Tiempo: 1.9718e-05
Tiempo: 1.9782e-05
Tiempo: 1.9664e-05
Tiempo: 1.9805e-05
Tiempo: 1.9712e-05
Tiempo: 1.9784e-05
Tiempo: 1.9661e-05
Tiempo: 1.9823e-05
Tiempo: 1.9733e-05
Tiempo: 1.9754e-05
Tiempo: 1.9727e-05
Tiempo: 1.9817e-05
Tiempo: 1.9709e-05
Tiempo: 1.9811e-05
Tiempo: 1.9718e-05
Tiempo: 1.9805e-05
Tiempo: 1.9706e-05
Tiempo: 1.982e-05
Tiempo: 1.9658e-05
Tiempo: 1.982e-05
Tiempo: 1.9724e-05
Tiempo: 1.9805e-05
Tiempo: 1.9724e-05
Tiempo: 1.9901e-05
Tiempo: 1.9661e-05
Tiempo: 1.9775e-05
Tiempo: 1.9652e-05
Tiempo: 1.983e-05
Tiempo: 1.9703e-05
Tiempo: 1.9835e-05
Tiempo: 1.9706e-05
Tiempo: 1.9832e-05
Tiempo: 1.9667e-05
Tiempo: 1.9766e-05
Tiempo: 1.9703e-05
Tiempo: 1.9814e-05
Tiempo: 1.9709e-05
Tiempo: 1.982e-05
Tiempo: 1.9706e-05
Tiempo: 1.9823e-05
Tiempo: 1.9667e-05
Tiempo: 1.9767e-05
Tiempo: 1.9709e-05
Tiempo: 1.982e-05
Tiempo: 1.9712e-05
Tiempo: 1.9832e-05
Tiempo: 1.9655e-05
Tiempo: 1.9769e-05
Tiempo: 1.9697e-05
Tiempo: 1.9829e-05
Tiempo: 1.97e-05
Tiempo: 1.9829e-05
Tiempo: 1.9748e-05
Tiempo: 1.9817e-05
Tiempo: 1.9694e-05
Tiempo: 1.9841e-05
Tiempo: 1.9661e-05
Tiempo: 1.982e-05
Tiempo: 1.9727e-05
Tiempo: 1.9817e-05
Tiempo: 1.9712e-05
Tiempo: 1.9808e-05
Tiempo: 1.9721e-05
Tiempo: 1.9808e-05
Tiempo: 1.9703e-05
Tiempo: 1.9814e-05
Tiempo: 1.9664e-05
Tiempo: 1.9757e-05
Tiempo: 1.9676e-05
Tiempo: 1.9754e-05
Tiempo: 1.9712e-05
Tiempo: 1.982e-05
Tiempo: 1.9712e-05
Tiempo: 1.982e-05
Tiempo: 1.9715e-05
Tiempo: 1.9826e-05
Tiempo: 1.9631e-05
Tiempo: 1.9856e-05
Tiempo: 1.9669e-05
Tiempo: 1.9814e-05
Tiempo: 1.9709e-05
Tiempo: 1.9823e-05
Tiempo: 1.9697e-05
Tiempo: 1.9823e-05
Tiempo: 2.1294e-05
Tiempo: 1.9886e-05
Tiempo: 2.6698e-05
Tiempo: 1.9727e-05
Tiempo: 1.9829e-05
Tiempo: 1.967e-05
Tiempo: 1.9811e-05
Tiempo: 2.0051e-05
Tiempo: 1.9658e-05
Tiempo: 1.9661e-05
Tiempo: 1.9766e-05
Tiempo: 1.961e-05
Tiempo: 1.9817e-05
Tiempo: 1.9673e-05
Tiempo: 1.9812e-05
Tiempo: 1.9697e-05
Tiempo: 1.9775e-05
Tiempo: 1.9682e-05
Tiempo: 1.9793e-05
Tiempo: 1.967e-05
Tiempo: 1.9814e-05
Tiempo: 1.9712e-05
Tiempo: 1.9829e-05
Tiempo: 1.9676e-05
Tiempo: 1.9796e-05
Tiempo: 1.9646e-05
Tiempo: 1.9811e-05
Tiempo: 1.9604e-05
Tiempo: 1.9733e-05
Tiempo: 1.9706e-05
Tiempo: 1.9781e-05
Tiempo: 1.9691e-05
Tiempo: 1.9838e-05
Tiempo: 1.9682e-05
Tiempo: 1.9766e-05
Tiempo: 1.9661e-05
Tiempo: 1.9763e-05
Tiempo: 1.961e-05
Tiempo: 1.9811e-05
Tiempo: 1.9604e-05
Tiempo: 1.9784e-05
Tiempo: 1.9718e-05
Tiempo: 1.9802e-05
Tiempo: 1.9649e-05
Tiempo: 1.976e-05
Tiempo: 1.9658e-05
Tiempo: 1.973e-05
Tiempo: 1.9694e-05
Tiempo: 1.9775e-05
Tiempo: 1.9682e-05
Tiempo: 1.982e-05
Tiempo: 1.9672e-05
Tiempo: 1.9733e-05
Tiempo: 1.9709e-05
Tiempo: 1.9775e-05
Tiempo: 1.9691e-05
Tiempo: 1.979e-05
Tiempo: 1.9691e-05
Tiempo: 1.9814e-05
Tiempo: 1.967e-05
Tiempo: 1.9791e-05
Tiempo: 1.967e-05
Tiempo: 1.9841e-05
Tiempo: 1.9685e-05
Tiempo: 1.9757e-05
Tiempo: 1.9586e-05
Tiempo: 1.9802e-05
Tiempo: 1.967e-05
Tiempo: 1.9781e-05
Tiempo: 1.9664e-05
Tiempo: 1.9772e-05
Tiempo: 1.9709e-05
Tiempo: 1.9796e-05
Tiempo: 1.9694e-05
Tiempo: 1.9835e-05
Tiempo: 1.9676e-05
Tiempo: 1.9808e-05
Tiempo: 1.9703e-05
Tiempo: 1.9814e-05
