100 ciudades aleatorias
Presupuesto bajo
Tiempo: 6.4384e-05
Tiempo: 4.4154e-05
Tiempo: 4.3676e-05
Tiempo: 4.2941e-05
Tiempo: 4.3348e-05
Tiempo: 4.3654e-05
Tiempo: 4.3339e-05
Tiempo: 4.329e-05
Tiempo: 4.369e-05
Tiempo: 4.3319e-05
Tiempo: 4.3643e-05
Tiempo: 4.3485e-05
Tiempo: 4.3807e-05
Tiempo: 4.3451e-05
Tiempo: 4.3753e-05
Tiempo: 4.3014e-05
Tiempo: 4.3372e-05
Tiempo: 4.3071e-05
Tiempo: 4.3586e-05
Tiempo: 4.3876e-05
Tiempo: 4.3228e-05
Tiempo: 4.3239e-05
Tiempo: 4.3519e-05
Tiempo: 4.3823e-05
Tiempo: 4.3103e-05
Tiempo: 4.3777e-05
Tiempo: 4.3227e-05
Tiempo: 4.3345e-05
Tiempo: 4.3681e-05
Tiempo: 4.3916e-05
Tiempo: 4.3341e-05
Tiempo: 4.323e-05
Tiempo: 4.3585e-05
Tiempo: 4.3426e-05
Tiempo: 4.3177e-05
Tiempo: 4.3609e-05
Tiempo: 3.9171e-05
Tiempo: 3.0162e-05
Tiempo: 3.0113e-05
Tiempo: 3.0013e-05
Tiempo: 2.9934e-05
Tiempo: 3.0093e-05
Tiempo: 3.0097e-05
Tiempo: 2.9923e-05
Tiempo: 2.9838e-05
Tiempo: 2.9947e-05
Tiempo: 3.0045e-05
Tiempo: 2.9652e-05
Tiempo: 2.9971e-05
Tiempo: 3.0103e-05
Tiempo: 3.0035e-05
Tiempo: 3.0117e-05
Tiempo: 2.9732e-05
Tiempo: 3.0049e-05
Tiempo: 2.9906e-05
Tiempo: 3.0115e-05
Tiempo: 3.0051e-05
Tiempo: 2.9903e-05
Tiempo: 2.9897e-05
Tiempo: 3.0085e-05
Tiempo: 3.0099e-05
Tiempo: 2.9747e-05
Tiempo: 2.9692e-05
Tiempo: 2.9796e-05
Tiempo: 2.9612e-05
Tiempo: 2.977e-05
Tiempo: 2.9696e-05
Tiempo: 2.976e-05
Tiempo: 2.9691e-05
Tiempo: 2.9718e-05
Tiempo: 3.0001e-05
Tiempo: 3.0149e-05
Tiempo: 2.9969e-05
Tiempo: 2.9724e-05
Tiempo: 2.9884e-05
Tiempo: 2.9919e-05
Tiempo: 3.0037e-05
Tiempo: 2.9917e-05
Tiempo: 3.0118e-05
Tiempo: 2.9927e-05
Tiempo: 2.9846e-05
Tiempo: 2.9815e-05
Tiempo: 2.9764e-05
Tiempo: 3.0362e-05
Tiempo: 3.0015e-05
Tiempo: 2.9875e-05
Tiempo: 2.9963e-05
Tiempo: 3.0117e-05
Tiempo: 3.0043e-05
Tiempo: 2.973e-05
Tiempo: 3.0001e-05
Tiempo: 3.7037e-05
Tiempo: 3.6357e-05
Tiempo: 2.981e-05
Tiempo: 3.0203e-05
Tiempo: 3.9805e-05
Tiempo: 4.3099e-05
Tiempo: 4.3184e-05
Tiempo: 4.3673e-05
Tiempo: 4.2701e-05
Tiempo: 3.0616e-05
Tiempo: 3.0145e-05
Tiempo: 3.0147e-05
Tiempo: 3.4474e-05
Tiempo: 4.0788e-05
Tiempo: 4.2767e-05
Tiempo: 3.2748e-05
Tiempo: 4.2697e-05
Tiempo: 4.1574e-05
Tiempo: 3.0426e-05
Tiempo: 4.1985e-05
Tiempo: 3.0482e-05
Tiempo: 3.0087e-05
Tiempo: 2.996e-05
Tiempo: 2.9855e-05
Tiempo: 2.9941e-05
Tiempo: 3.0145e-05
Tiempo: 3.4059e-05
Tiempo: 3.0099e-05
Tiempo: 3.0009e-05
Tiempo: 3.043e-05
Tiempo: 3.0057e-05
Tiempo: 3.0173e-05
Tiempo: 2.9877e-05
Tiempo: 3.0039e-05
Tiempo: 2.9909e-05
Tiempo: 3.0115e-05
Tiempo: 2.9777e-05
Tiempo: 2.9975e-05
Tiempo: 3.0098e-05
Tiempo: 2.9905e-05
Tiempo: 3.0111e-05
Tiempo: 3.0071e-05
Tiempo: 3.0041e-05
Tiempo: 2.9881e-05
Tiempo: 3.0043e-05
Tiempo: 3.0127e-05
Tiempo: 2.9973e-05
Tiempo: 2.9947e-05
Tiempo: 3.0348e-05
Tiempo: 2.9926e-05
Tiempo: 2.9862e-05
Tiempo: 2.9997e-05
Tiempo: 2.9987e-05
Tiempo: 2.9955e-05
Tiempo: 2.9606e-05
Tiempo: 2.9845e-05
Tiempo: 3.0003e-05
Tiempo: 2.9969e-05
Tiempo: 3.0174e-05
Tiempo: 2.9737e-05
Tiempo: 2.9985e-05
Tiempo: 2.9899e-05
Tiempo: 2.9656e-05
Tiempo: 3.0243e-05
Tiempo: 3.046e-05
Tiempo: 2.9632e-05
Tiempo: 3.0111e-05
Tiempo: 3.0122e-05
Tiempo: 3.0346e-05
Tiempo: 2.9981e-05
Tiempo: 2.9806e-05
Tiempo: 2.9751e-05
Tiempo: 2.9927e-05
Tiempo: 3.033e-05
Tiempo: 2.9987e-05
Tiempo: 2.9824e-05
Tiempo: 2.9841e-05
Tiempo: 2.999e-05
Tiempo: 3.047e-05
Tiempo: 2.9999e-05
Tiempo: 2.9963e-05
Tiempo: 3.0124e-05
Tiempo: 3.0114e-05
Tiempo: 3.0055e-05
Tiempo: 3.0208e-05
Tiempo: 3.2341e-05
Tiempo: 2.9987e-05
Tiempo: 3.0222e-05
Tiempo: 2.9785e-05
Tiempo: 2.977e-05
Tiempo: 2.9919e-05
Tiempo: 3.0073e-05
Tiempo: 3.0029e-05
Tiempo: 2.9907e-05
Tiempo: 3.0003e-05
Tiempo: 2.9857e-05
Tiempo: 3.0167e-05
Tiempo: 2.9678e-05
Tiempo: 2.9925e-05
Tiempo: 2.9637e-05
Tiempo: 2.971e-05
Tiempo: 3.0049e-05
Tiempo: 3.0003e-05
Tiempo: 3.0051e-05
Tiempo: 2.9997e-05
Tiempo: 2.9947e-05
Tiempo: 2.9831e-05
Tiempo: 2.9912e-05
Tiempo: 2.9741e-05
Tiempo: 2.9648e-05
Tiempo: 3.0428e-05
Tiempo: 2.9893e-05
Tiempo: 2.9855e-05
Tiempo: 2.9838e-05
Tiempo: 3.0457e-05
Tiempo: 2.9796e-05
Tiempo: 3.046e-05
Tiempo: 2.9883e-05
Tiempo: 3.0148e-05
Tiempo: 3.019e-05
Tiempo: 3.0442e-05
Tiempo: 2.9641e-05
Tiempo: 3e-05
Tiempo: 2.9933e-05
Tiempo: 3.0332e-05
Tiempo: 3.013e-05
Tiempo: 2.9947e-05
Tiempo: 3.0284e-05
Tiempo: 3.0153e-05
Tiempo: 2.9921e-05
Tiempo: 3.0266e-05
Tiempo: 2.9915e-05
Tiempo: 2.9881e-05
Tiempo: 3.0003e-05
Tiempo: 2.9714e-05
Tiempo: 2.9933e-05
Tiempo: 2.9865e-05
Tiempo: 2.9965e-05
Tiempo: 2.9833e-05
Tiempo: 3.0191e-05
Tiempo: 2.9917e-05
Tiempo: 2.9596e-05
Tiempo: 3.0063e-05
Tiempo: 2.9704e-05
Tiempo: 3.0065e-05
Tiempo: 3.0043e-05
Tiempo: 2.9746e-05
Tiempo: 2.9883e-05
Tiempo: 3.0005e-05
Tiempo: 3.0019e-05
Tiempo: 2.981e-05
Tiempo: 2.96e-05
Tiempo: 2.999e-05
Tiempo: 3.0025e-05
Tiempo: 3.0087e-05
Tiempo: 2.9678e-05
Tiempo: 2.9857e-05
Tiempo: 2.9827e-05
Tiempo: 3.0482e-05
Tiempo: 3.0656e-05
Tiempo: 2.6034e-05
Tiempo: 1.8309e-05
Tiempo: 1.8527e-05
Tiempo: 1.8404e-05
Tiempo: 1.8529e-05
Tiempo: 1.8517e-05
Tiempo: 1.8615e-05
Tiempo: 1.8537e-05
Tiempo: 1.8718e-05
Tiempo: 1.8726e-05
Tiempo: 1.8638e-05
Tiempo: 1.8446e-05
Tiempo: 1.8575e-05
Tiempo: 1.8797e-05
Tiempo: 1.8312e-05
Tiempo: 1.8439e-05
Tiempo: 1.8326e-05
Tiempo: 1.8505e-05
Tiempo: 1.8525e-05
Tiempo: 1.85e-05
Tiempo: 1.8352e-05
Tiempo: 1.8539e-05
Tiempo: 1.8593e-05
Tiempo: 1.8475e-05
Tiempo: 1.8555e-05
Tiempo: 1.8375e-05
Tiempo: 1.8612e-05
Tiempo: 1.8475e-05
Tiempo: 1.8445e-05
Tiempo: 1.836e-05
Tiempo: 1.859e-05
Tiempo: 1.8372e-05
Tiempo: 1.8657e-05
Tiempo: 1.8444e-05
Tiempo: 1.8584e-05
Tiempo: 1.8299e-05
Tiempo: 1.8545e-05
Tiempo: 1.8661e-05
Tiempo: 1.8643e-05
Tiempo: 1.8506e-05
Tiempo: 1.8544e-05
Tiempo: 1.8544e-05
Tiempo: 1.8664e-05
Tiempo: 1.8379e-05
Tiempo: 1.8534e-05
Tiempo: 1.8637e-05
Tiempo: 1.8407e-05
Tiempo: 1.8457e-05
Tiempo: 1.8543e-05
Tiempo: 1.8629e-05
Tiempo: 1.8367e-05
Tiempo: 1.8725e-05
Tiempo: 1.8636e-05
Tiempo: 1.8555e-05
Tiempo: 1.88e-05
Tiempo: 1.8538e-05
Tiempo: 1.8451e-05
Tiempo: 1.8368e-05
Tiempo: 1.849e-05
Tiempo: 1.838e-05
Tiempo: 1.8401e-05
Tiempo: 1.8464e-05
Tiempo: 1.8561e-05
Tiempo: 1.855e-05
Tiempo: 1.8734e-05
Tiempo: 1.8426e-05
Tiempo: 1.8312e-05
Tiempo: 1.8547e-05
Tiempo: 1.8577e-05
Tiempo: 1.8443e-05
Tiempo: 1.8508e-05
Tiempo: 1.8316e-05
Tiempo: 1.8709e-05
Tiempo: 1.844e-05
Tiempo: 1.8437e-05
Tiempo: 1.8417e-05
Tiempo: 1.8508e-05
Tiempo: 1.8573e-05
Tiempo: 1.8596e-05
Tiempo: 1.845e-05
Tiempo: 1.8729e-05
Tiempo: 1.865e-05
Tiempo: 1.833e-05
Tiempo: 1.849e-05
Tiempo: 1.8556e-05
Tiempo: 1.8533e-05
Tiempo: 1.8505e-05
Tiempo: 1.8321e-05
Tiempo: 1.8416e-05
Tiempo: 1.8521e-05
Tiempo: 1.8524e-05
Tiempo: 1.8751e-05
Tiempo: 1.8429e-05
Tiempo: 1.8622e-05
Tiempo: 1.875e-05
Tiempo: 1.858e-05
Tiempo: 1.8622e-05
Tiempo: 1.8403e-05
Tiempo: 1.8497e-05
Tiempo: 1.8797e-05
Tiempo: 1.8468e-05
Tiempo: 1.858e-05
Tiempo: 1.8459e-05
Tiempo: 1.8568e-05
Tiempo: 1.8534e-05
Tiempo: 1.859e-05
Tiempo: 1.8264e-05
Tiempo: 1.8528e-05
Tiempo: 1.8428e-05
Tiempo: 1.8555e-05
Tiempo: 1.8632e-05
Tiempo: 1.8456e-05
Tiempo: 1.8737e-05
Tiempo: 1.8408e-05
Tiempo: 1.8469e-05
Tiempo: 1.8631e-05
Tiempo: 1.8373e-05
Tiempo: 2.6683e-05
Tiempo: 1.8599e-05
Tiempo: 1.848e-05
Tiempo: 1.8585e-05
Tiempo: 1.8596e-05
Tiempo: 1.8706e-05
Tiempo: 1.8377e-05
Tiempo: 1.8497e-05
Tiempo: 1.8445e-05
Tiempo: 1.8558e-05
Tiempo: 1.8509e-05
Tiempo: 1.8386e-05
Tiempo: 1.8882e-05
Tiempo: 1.845e-05
Tiempo: 1.8572e-05
Tiempo: 1.8661e-05
Tiempo: 1.8586e-05
Tiempo: 1.831e-05
Tiempo: 1.8627e-05
Tiempo: 1.8822e-05
Tiempo: 1.8779e-05
Tiempo: 1.867e-05
Tiempo: 1.8651e-05
Tiempo: 1.8701e-05
Tiempo: 1.8509e-05
Tiempo: 1.8554e-05
Tiempo: 1.8602e-05
Tiempo: 1.8612e-05
Tiempo: 1.8474e-05
Tiempo: 1.8549e-05
Tiempo: 1.8354e-05
Tiempo: 1.8602e-05
Tiempo: 1.8593e-05
Tiempo: 1.8588e-05
Tiempo: 1.8642e-05
Tiempo: 1.8728e-05
Tiempo: 1.863e-05
Tiempo: 1.8597e-05
Tiempo: 1.8778e-05
Tiempo: 1.8527e-05
Tiempo: 1.85e-05
Tiempo: 1.864e-05
Tiempo: 1.8346e-05
Tiempo: 1.8583e-05
Tiempo: 1.8497e-05
Tiempo: 1.8282e-05
Tiempo: 1.8584e-05
Tiempo: 1.8552e-05
Tiempo: 1.8266e-05
Tiempo: 1.8515e-05
Tiempo: 1.862e-05
Tiempo: 1.8576e-05
Tiempo: 1.8635e-05
Tiempo: 1.8276e-05
Tiempo: 1.8464e-05
Tiempo: 1.8473e-05
Tiempo: 1.8442e-05
Tiempo: 1.8636e-05
Tiempo: 1.873e-05
Tiempo: 1.8614e-05
Tiempo: 1.8597e-05
Tiempo: 1.85e-05
Tiempo: 1.8767e-05
Tiempo: 1.8709e-05
Tiempo: 1.8513e-05
Tiempo: 1.8857e-05
Tiempo: 1.8522e-05
Tiempo: 1.8889e-05
Tiempo: 1.838e-05
Tiempo: 1.8652e-05
Tiempo: 1.8459e-05
Tiempo: 1.8831e-05
Tiempo: 1.8609e-05
Tiempo: 1.8537e-05
Tiempo: 1.8377e-05
Tiempo: 1.8436e-05
Tiempo: 1.866e-05
Tiempo: 1.8656e-05
Tiempo: 1.8306e-05
Tiempo: 1.8598e-05
Tiempo: 1.8655e-05
Tiempo: 1.8554e-05
Tiempo: 1.9138e-05
Tiempo: 1.8259e-05
Tiempo: 1.8538e-05
Tiempo: 1.8606e-05
Tiempo: 1.8408e-05
