5000 ciudades aleatorias
Presupuesto bajo
Tiempo: 0.00155519
Tiempo: 0.00149974
Tiempo: 0.00147973
Tiempo: 0.00146785
Tiempo: 0.00147384
Tiempo: 0.00148198
Tiempo: 0.00151175
Tiempo: 0.00147429
Tiempo: 0.00148419
Tiempo: 0.00147301
Tiempo: 0.00148357
Tiempo: 0.0014721
Tiempo: 0.00148475
Tiempo: 0.00146934
Tiempo: 0.0014774
Tiempo: 0.00147308
Tiempo: 0.00147364
Tiempo: 0.00147368
Tiempo: 0.00150529
Tiempo: 0.00150995
Tiempo: 0.0014662
Tiempo: 0.00147653
Tiempo: 0.00147253
Tiempo: 0.00147734
Tiempo: 0.00146863
Tiempo: 0.00148275
Tiempo: 0.00147341
Tiempo: 0.00166785
Tiempo: 0.00148765
Tiempo: 0.00148419
Tiempo: 0.00147399
Tiempo: 0.00147363
Tiempo: 0.00148578
Tiempo: 0.00147057
Tiempo: 0.00147968
Tiempo: 0.0014735
Tiempo: 0.00148347
Tiempo: 0.0014732
Tiempo: 0.001478
Tiempo: 0.00146572
Tiempo: 0.00147754
Tiempo: 0.00147368
Tiempo: 0.00151947
Tiempo: 0.00147567
Tiempo: 0.0014761
Tiempo: 0.00152458
Tiempo: 0.00147276
Tiempo: 0.00148498
Tiempo: 0.00147185
Tiempo: 0.00147909
Tiempo: 0.00147397
Tiempo: 0.00148504
Tiempo: 0.00147134
Tiempo: 0.0014745
Tiempo: 0.00147
Tiempo: 0.00147359
Tiempo: 0.00147066
Tiempo: 0.00147769
Tiempo: 0.00147947
Tiempo: 0.00147537
Tiempo: 0.0014739
Tiempo: 0.00149242
Tiempo: 0.00148775
Tiempo: 0.0014742
Tiempo: 0.00148341
Tiempo: 0.00147472
Tiempo: 0.00147293
Tiempo: 0.00147187
Tiempo: 0.00146936
Tiempo: 0.00148008
Tiempo: 0.00146954
Tiempo: 0.00148198
Tiempo: 0.00147862
Tiempo: 0.00147683
Tiempo: 0.00147386
Tiempo: 0.00147858
