10000 ciudades aleatorias
Presupuesto bajo
Tiempo: 0.00373816
Tiempo: 0.00317183
Tiempo: 0.00319268
Tiempo: 0.00321676
Tiempo: 0.0031891
Tiempo: 0.00320546
Tiempo: 0.00319122
Tiempo: 0.00316809
Tiempo: 0.0031763
Tiempo: 0.00316752
Tiempo: 0.00317365
Tiempo: 0.00316935
Tiempo: 0.00316812
Tiempo: 0.00321972
Tiempo: 0.00316552
Tiempo: 0.003159
Tiempo: 0.00318748
Tiempo: 0.0031775
Tiempo: 0.00316739
Tiempo: 0.00317279
Tiempo: 0.00316482
Tiempo: 0.00339272
Tiempo: 0.00319354
Tiempo: 0.00317822
Tiempo: 0.00316683
Tiempo: 0.00316431
Tiempo: 0.0031608
Tiempo: 0.00316467
Tiempo: 0.0031864
Tiempo: 0.00316089
Tiempo: 0.00316255
Tiempo: 0.00316226
Tiempo: 0.00316353
Tiempo: 0.00318435
Tiempo: 0.00317934
Tiempo: 0.00316571
Tiempo: 0.00316143
Tiempo: 0.00316847
Tiempo: 0.00316919
Tiempo: 0.00320043
Tiempo: 0.00317899
Tiempo: 0.00316147
Tiempo: 0.0031697
Tiempo: 0.0031636
Tiempo: 0.00317087
Tiempo: 0.00315791
Tiempo: 0.00316732
Tiempo: 0.0031727
Tiempo: 0.00317208
Tiempo: 0.00316388
Tiempo: 0.00317277
Tiempo: 0.00318935
Tiempo: 0.00316785
Tiempo: 0.00316446
Tiempo: 0.00316952
Tiempo: 0.00316996
Tiempo: 0.00317183
Tiempo: 0.00316687
Tiempo: 0.00315636
Tiempo: 0.00317379
Tiempo: 0.00316686
Tiempo: 0.0031664
Tiempo: 0.00316847
Tiempo: 0.00317286
Tiempo: 0.00316936
Tiempo: 0.0031772
Tiempo: 0.00317226
Tiempo: 0.0031615
Tiempo: 0.00316387
Tiempo: 0.00316314
Tiempo: 0.00315946
Tiempo: 0.0031606
Tiempo: 0.00316687
Tiempo: 0.00316741
Tiempo: 0.00317886
Tiempo: 0.00318269
Tiempo: 0.00317377
Tiempo: 0.00316976
Tiempo: 0.00317312
Tiempo: 0.00316643
Tiempo: 0.00315504
Tiempo: 0.00320708
Tiempo: 0.00315998
Tiempo: 0.00320071
Tiempo: 0.0031646
Tiempo: 0.00320193
Tiempo: 0.00316896
Tiempo: 0.00317274
Tiempo: 0.00316412
Tiempo: 0.00316861
Tiempo: 0.00317125
Tiempo: 0.00319075
Tiempo: 0.00317544
Tiempo: 0.00317811
Tiempo: 0.00316744
Tiempo: 0.00315926
Tiempo: 0.00317105
Tiempo: 0.00322665
Tiempo: 0.00316837
Tiempo: 0.00317638
Tiempo: 0.00316745
Tiempo: 0.00317231
Tiempo: 0.00318098
Tiempo: 0.00315953
Tiempo: 0.00316676
Tiempo: 0.00317395
Tiempo: 0.00316628
Tiempo: 0.0031532
Tiempo: 0.00316137
Tiempo: 0.00316468
Tiempo: 0.00316559
Tiempo: 0.00316199
Tiempo: 0.00316917
Tiempo: 0.00316135
Tiempo: 0.00316681
Tiempo: 0.00317483
Tiempo: 0.00316997
Tiempo: 0.00316657
Tiempo: 0.00321836
Tiempo: 0.00317264
Tiempo: 0.00317768
Tiempo: 0.00317207
Tiempo: 0.00316411
Tiempo: 0.00316988
Tiempo: 0.00317228
Tiempo: 0.00316585
Tiempo: 0.00315738
Tiempo: 0.00322257
Tiempo: 0.00317693
Tiempo: 0.00316623
Tiempo: 0.00317267
Tiempo: 0.00316423
Tiempo: 0.00317654
Tiempo: 0.00317257
Tiempo: 0.00316949
Tiempo: 0.00315771
Tiempo: 0.00319522
Tiempo: 0.00315857
Tiempo: 0.00316394
Tiempo: 0.00317371
Tiempo: 0.00317043
Tiempo: 0.00316774
Tiempo: 0.00317341
Tiempo: 0.00317152
Tiempo: 0.00317048
Tiempo: 0.00317262
Tiempo: 0.00316605
Tiempo: 0.00315304
Tiempo: 0.0031515
Tiempo: 0.00315435
Tiempo: 0.0031618
Tiempo: 0.00316863
Tiempo: 0.0031606
Tiempo: 0.00316133
Tiempo: 0.00318322
Tiempo: 0.00318342
Tiempo: 0.00316301
Tiempo: 0.00319747
Tiempo: 0.00317251
Tiempo: 0.0031673
Tiempo: 0.00316487
Tiempo: 0.00317849
Tiempo: 0.00316751
Tiempo: 0.00316514
Tiempo: 0.0031629
Tiempo: 0.00316589
Tiempo: 0.00318471
Tiempo: 0.00317242
Tiempo: 0.00315697
Tiempo: 0.00317697
Tiempo: 0.00321266
Tiempo: 0.00318811
Tiempo: 0.00316898
Tiempo: 0.00317231
Tiempo: 0.00315979
Tiempo: 0.00316945
Tiempo: 0.00317353
Tiempo: 0.00317937
Tiempo: 0.00317456
Tiempo: 0.00317431
Tiempo: 0.0032124
Tiempo: 0.00317206
Tiempo: 0.00317183
Tiempo: 0.00315483
Tiempo: 0.00316636
Tiempo: 0.00317229
Tiempo: 0.00316709
Tiempo: 0.00318283
Tiempo: 0.00316049
Tiempo: 0.00317736
Tiempo: 0.00315971
Tiempo: 0.00317152
Tiempo: 0.0031629
Tiempo: 0.00316363
Tiempo: 0.00316368
Tiempo: 0.00316827
Tiempo: 0.00319297
Tiempo: 0.00318405
Tiempo: 0.00316838
Tiempo: 0.00316183
Tiempo: 0.00318691
Tiempo: 0.00318246
Tiempo: 0.00316072
Tiempo: 0.0031542
Tiempo: 0.0031752
Tiempo: 0.00316547
Tiempo: 0.00316699
Tiempo: 0.00316835
Tiempo: 0.00317088
Tiempo: 0.00315824
Tiempo: 0.00319126
Tiempo: 0.0032027
Tiempo: 0.00318416
Tiempo: 0.00316848
Tiempo: 0.003167
Tiempo: 0.003165
Tiempo: 0.00317241
Tiempo: 0.00316768
Tiempo: 0.00316521
Tiempo: 0.00316327
Tiempo: 0.00316479
Tiempo: 0.0031706
Tiempo: 0.00319318
Tiempo: 0.00317729
Tiempo: 0.00315903
Tiempo: 0.00317445
Tiempo: 0.00316648
Tiempo: 0.00316426
Tiempo: 0.00315886
Tiempo: 0.00316451
Tiempo: 0.00316235
Tiempo: 0.00315793
Tiempo: 0.00316101
Tiempo: 0.00320267
Tiempo: 0.00316618
Tiempo: 0.00317535
Tiempo: 0.00316183
Tiempo: 0.00316418
Tiempo: 0.00317532
Tiempo: 0.00318178
Tiempo: 0.00315823
Tiempo: 0.00317607
Tiempo: 0.00317218
Tiempo: 0.0031667
Tiempo: 0.0031641
Tiempo: 0.00316752
Tiempo: 0.00318133
Tiempo: 0.0031816
Tiempo: 0.00316148
Tiempo: 0.00316802
Tiempo: 0.00317479
Tiempo: 0.00319785
Tiempo: 0.0031691
Tiempo: 0.00316422
Tiempo: 0.00316928
Tiempo: 0.00317173
Tiempo: 0.00317515
Tiempo: 0.00329113
Tiempo: 0.00320169
Tiempo: 0.00318544
Tiempo: 0.00318069
Tiempo: 0.00317435
Tiempo: 0.00317516
Tiempo: 0.00317167
Tiempo: 0.00316994
Tiempo: 0.00316508
Tiempo: 0.00316591
Tiempo: 0.00316748
Tiempo: 0.00317578
Tiempo: 0.0031755
Tiempo: 0.00317681
Tiempo: 0.00316139
Tiempo: 0.00315724
Tiempo: 0.00314994
Tiempo: 0.00315178
Tiempo: 0.00314937
Tiempo: 0.00316721
Tiempo: 0.00315275
Tiempo: 0.00320117
Tiempo: 0.00318404
Tiempo: 0.003179
Tiempo: 0.00318742
Tiempo: 0.00316955
Tiempo: 0.00366079
Tiempo: 0.00460344
Tiempo: 0.00359894
Tiempo: 0.00319326
Tiempo: 0.00317361
Tiempo: 0.00319721
Tiempo: 0.00322243
Tiempo: 0.00318388
Tiempo: 0.00318878
Tiempo: 0.00321305
Tiempo: 0.00318952
Tiempo: 0.00316864
Tiempo: 0.00316697
Tiempo: 0.00317511
Tiempo: 0.00315983
Tiempo: 0.0031757
Tiempo: 0.00316608
Tiempo: 0.00319817
Tiempo: 0.00317801
Tiempo: 0.00317072
Tiempo: 0.00320726
Tiempo: 0.00319935
Tiempo: 0.00316102
Tiempo: 0.00316887
Tiempo: 0.00317391
Tiempo: 0.00316695
Tiempo: 0.00318779
Tiempo: 0.00316254
Tiempo: 0.00319989
Tiempo: 0.00341204
Tiempo: 0.00359493
Tiempo: 0.00318554
Tiempo: 0.00319065
Tiempo: 0.00316859
Tiempo: 0.00315953
Tiempo: 0.00315855
Tiempo: 0.00315543
