Con todo
Tablero de 6x6 con 0 caballos preubicados
Tiempo: 3.11675
Tiempo: 3.1099
Tiempo: 3.11055
Tiempo: 3.11057
Tiempo: 3.10953
Tiempo: 3.10897
Tiempo: 3.10996
Tiempo: 3.10949
Tiempo: 3.11085
Tiempo: 3.10978
Tiempo: 3.10911
Tiempo: 3.10935
Tiempo: 3.11022
Tiempo: 3.11017
Tiempo: 3.11009
Tiempo: 3.11
Tiempo: 3.10987
Tiempo: 3.10931
Tiempo: 3.10975
Tiempo: 3.10934
Tiempo: 3.10867
Tiempo: 3.10899
Tiempo: 3.10916
Tiempo: 3.10907
Tiempo: 3.10905
Tiempo: 3.10914
Tiempo: 3.10907
Tiempo: 3.10967
Tiempo: 3.11002
Tiempo: 3.10814
Tiempo: 3.10977
Tiempo: 3.11064
Tiempo: 3.11098
Tiempo: 3.10924
Tiempo: 3.11031
Tiempo: 3.10915
Tiempo: 3.10949
Tiempo: 3.10914
Tiempo: 3.10956
Tiempo: 3.10935
Tiempo: 3.1091
Tiempo: 3.10935
Tiempo: 3.10975
