Con todo
Tablero de 5x5 con 5 caballos preubicados
Tiempo: 9.751e-06
Tiempo: 8.517e-06
Tiempo: 7.38e-06
Tiempo: 7.226e-06
Tiempo: 7.154e-06
Tiempo: 7.118e-06
Tiempo: 7.145e-06
Tiempo: 7.124e-06
Tiempo: 7.097e-06
Tiempo: 7.137e-06
Tiempo: 7.121e-06
Tiempo: 7.094e-06
Tiempo: 7.136e-06
Tiempo: 7.121e-06
Tiempo: 7.097e-06
Tiempo: 7.133e-06
Tiempo: 7.118e-06
Tiempo: 7.097e-06
Tiempo: 7.136e-06
Tiempo: 7.119e-06
Tiempo: 7.1e-06
Tiempo: 7.136e-06
Tiempo: 7.121e-06
Tiempo: 7.1e-06
Tiempo: 7.133e-06
Tiempo: 7.121e-06
Tiempo: 7.094e-06
Tiempo: 7.137e-06
Tiempo: 7.121e-06
Tiempo: 7.094e-06
Tiempo: 7.136e-06
Tiempo: 7.121e-06
Tiempo: 7.098e-06
Tiempo: 7.136e-06
Tiempo: 7.118e-06
Tiempo: 7.097e-06
Tiempo: 7.136e-06
Tiempo: 7.121e-06
Tiempo: 7.1e-06
Tiempo: 7.133e-06
Tiempo: 7.118e-06
Tiempo: 7.1e-06
Tiempo: 7.134e-06
Tiempo: 7.118e-06
Tiempo: 7.148e-06
Tiempo: 7.136e-06
Tiempo: 7.121e-06
Tiempo: 7.1e-06
Tiempo: 7.136e-06
Tiempo: 7.121e-06
Tiempo: 7.097e-06
Tiempo: 7.136e-06
Tiempo: 7.119e-06
Tiempo: 7.097e-06
Tiempo: 7.139e-06
Tiempo: 7.124e-06
Tiempo: 7.097e-06
Tiempo: 7.136e-06
Tiempo: 7.121e-06
Tiempo: 7.1e-06
Tiempo: 7.139e-06
Tiempo: 7.118e-06
Tiempo: 7.094e-06
Tiempo: 7.133e-06
Tiempo: 7.121e-06
Tiempo: 7.097e-06
Tiempo: 7.133e-06
Tiempo: 7.118e-06
Tiempo: 7.097e-06
Tiempo: 7.133e-06
Tiempo: 7.118e-06
Tiempo: 7.097e-06
Tiempo: 7.137e-06
Tiempo: 7.121e-06
Tiempo: 7.097e-06
Tiempo: 7.136e-06
Tiempo: 7.121e-06
Tiempo: 7.094e-06
Tiempo: 7.133e-06
Tiempo: 7.118e-06
Tiempo: 7.1e-06
Tiempo: 7.133e-06
Tiempo: 7.115e-06
Tiempo: 7.097e-06
Tiempo: 7.133e-06
Tiempo: 7.124e-06
Tiempo: 7.094e-06
Tiempo: 7.137e-06
Tiempo: 7.121e-06
Tiempo: 7.1e-06
Tiempo: 7.136e-06
Tiempo: 7.118e-06
Tiempo: 7.101e-06
Tiempo: 7.133e-06
Tiempo: 7.118e-06
Tiempo: 7.097e-06
Tiempo: 7.133e-06
Tiempo: 7.121e-06
Tiempo: 7.1e-06
Tiempo: 7.136e-06
Tiempo: 7.121e-06
Tiempo: 6.2832e-05
Tiempo: 7.581e-06
Tiempo: 7.289e-06
Tiempo: 7.169e-06
Tiempo: 7.166e-06
Tiempo: 7.172e-06
Tiempo: 7.154e-06
Tiempo: 7.16e-06
Tiempo: 7.166e-06
Tiempo: 7.157e-06
Tiempo: 7.151e-06
Tiempo: 7.169e-06
Tiempo: 7.151e-06
Tiempo: 7.16e-06
Tiempo: 7.164e-06
Tiempo: 7.154e-06
Tiempo: 7.157e-06
Tiempo: 7.172e-06
Tiempo: 7.151e-06
Tiempo: 7.16e-06
Tiempo: 7.163e-06
Tiempo: 7.157e-06
Tiempo: 7.154e-06
Tiempo: 7.172e-06
Tiempo: 7.151e-06
Tiempo: 7.158e-06
Tiempo: 7.461e-06
Tiempo: 7.166e-06
Tiempo: 7.142e-06
Tiempo: 7.124e-06
Tiempo: 7.122e-06
Tiempo: 7.112e-06
Tiempo: 7.121e-06
Tiempo: 7.115e-06
Tiempo: 7.127e-06
Tiempo: 7.118e-06
Tiempo: 7.121e-06
Tiempo: 7.112e-06
Tiempo: 7.127e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.115e-06
Tiempo: 7.127e-06
Tiempo: 7.112e-06
Tiempo: 7.118e-06
Tiempo: 7.112e-06
Tiempo: 7.124e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.112e-06
Tiempo: 7.124e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.115e-06
Tiempo: 7.145e-06
Tiempo: 7.115e-06
Tiempo: 7.121e-06
Tiempo: 7.115e-06
Tiempo: 7.127e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.112e-06
Tiempo: 7.124e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.115e-06
Tiempo: 7.124e-06
Tiempo: 7.115e-06
Tiempo: 7.121e-06
Tiempo: 7.112e-06
Tiempo: 7.124e-06
Tiempo: 7.121e-06
Tiempo: 7.118e-06
Tiempo: 7.112e-06
Tiempo: 7.124e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.115e-06
Tiempo: 7.124e-06
Tiempo: 7.116e-06
Tiempo: 7.121e-06
Tiempo: 7.112e-06
Tiempo: 7.121e-06
Tiempo: 7.115e-06
Tiempo: 7.122e-06
Tiempo: 7.109e-06
Tiempo: 7.124e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.115e-06
Tiempo: 7.127e-06
Tiempo: 7.115e-06
Tiempo: 7.121e-06
Tiempo: 7.112e-06
Tiempo: 7.121e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.112e-06
Tiempo: 7.124e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.115e-06
Tiempo: 7.122e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.115e-06
Tiempo: 7.124e-06
Tiempo: 7.118e-06
Tiempo: 7.118e-06
Tiempo: 7.109e-06
Tiempo: 7.124e-06
Tiempo: 7.112e-06
Tiempo: 7.118e-06
Tiempo: 7.115e-06
Tiempo: 7.127e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.112e-06
Tiempo: 7.124e-06
Tiempo: 7.115e-06
Tiempo: 7.118e-06
Tiempo: 7.112e-06
Tiempo: 7.127e-06
Tiempo: 7.116e-06
Tiempo: 7.118e-06
Tiempo: 7.734e-06
Tiempo: 7.244e-06
Tiempo: 7.148e-06
Tiempo: 7.154e-06
Tiempo: 7.178e-06
Tiempo: 7.191e-06
Tiempo: 7.163e-06
Tiempo: 7.184e-06
Tiempo: 7.154e-06
Tiempo: 7.172e-06
Tiempo: 7.169e-06
Tiempo: 7.166e-06
Tiempo: 7.139e-06
Tiempo: 7.178e-06
Tiempo: 7.154e-06
Tiempo: 7.169e-06
Tiempo: 7.169e-06
Tiempo: 7.172e-06
Tiempo: 7.145e-06
Tiempo: 7.184e-06
Tiempo: 7.148e-06
Tiempo: 7.166e-06
Tiempo: 7.166e-06
Tiempo: 7.157e-06
Tiempo: 7.151e-06
Tiempo: 7.187e-06
Tiempo: 7.151e-06
Tiempo: 7.17e-06
Tiempo: 7.169e-06
Tiempo: 7.172e-06
Tiempo: 7.139e-06
Tiempo: 7.175e-06
Tiempo: 7.142e-06
Tiempo: 7.169e-06
Tiempo: 7.184e-06
Tiempo: 7.166e-06
Tiempo: 7.151e-06
Tiempo: 7.175e-06
Tiempo: 7.151e-06
Tiempo: 7.169e-06
Tiempo: 7.17e-06
Tiempo: 7.16e-06
Tiempo: 7.187e-06
Tiempo: 7.175e-06
Tiempo: 7.142e-06
Tiempo: 7.166e-06
Tiempo: 7.184e-06
Tiempo: 7.173e-06
Tiempo: 7.151e-06
Tiempo: 7.175e-06
Tiempo: 7.152e-06
Tiempo: 7.169e-06
Tiempo: 7.169e-06
Tiempo: 7.151e-06
Tiempo: 7.139e-06
Tiempo: 7.175e-06
Tiempo: 7.142e-06
Tiempo: 7.169e-06
Tiempo: 7.172e-06
Tiempo: 7.166e-06
Tiempo: 7.148e-06
Tiempo: 7.181e-06
Tiempo: 7.148e-06
Tiempo: 7.152e-06
Tiempo: 7.157e-06
Tiempo: 7.151e-06
Tiempo: 7.139e-06
Tiempo: 7.181e-06
Tiempo: 7.142e-06
Tiempo: 7.155e-06
Tiempo: 7.154e-06
Tiempo: 7.154e-06
Tiempo: 7.139e-06
Tiempo: 7.184e-06
Tiempo: 7.154e-06
Tiempo: 7.169e-06
Tiempo: 7.16e-06
Tiempo: 7.157e-06
Tiempo: 7.133e-06
Tiempo: 7.172e-06
Tiempo: 7.133e-06
Tiempo: 7.154e-06
Tiempo: 7.16e-06
Tiempo: 7.16e-06
Tiempo: 7.136e-06
Tiempo: 7.179e-06
Tiempo: 7.133e-06
Tiempo: 7.163e-06
Tiempo: 7.185e-06
Tiempo: 7.172e-06
Tiempo: 7.148e-06
Tiempo: 7.185e-06
Tiempo: 7.157e-06
Tiempo: 7.163e-06
Tiempo: 7.157e-06
Tiempo: 7.154e-06
Tiempo: 7.145e-06
Tiempo: 7.157e-06
Tiempo: 7.136e-06
Tiempo: 7.145e-06
Tiempo: 7.157e-06
Tiempo: 7.139e-06
Tiempo: 7.139e-06
Tiempo: 7.164e-06
Tiempo: 7.157e-06
Tiempo: 7.151e-06
Tiempo: 7.169e-06
Tiempo: 7.151e-06
Tiempo: 7.154e-06
Tiempo: 7.175e-06
Tiempo: 7.151e-06
Tiempo: 7.157e-06
Tiempo: 7.172e-06
Tiempo: 7.16e-06
Tiempo: 7.157e-06
Tiempo: 7.169e-06
Tiempo: 7.148e-06
Tiempo: 7.151e-06
Tiempo: 7.172e-06
Tiempo: 7.151e-06
Tiempo: 7.151e-06
Tiempo: 7.175e-06
Tiempo: 7.152e-06
Tiempo: 7.154e-06
Tiempo: 7.172e-06
Tiempo: 7.164e-06
Tiempo: 7.142e-06
Tiempo: 7.157e-06
Tiempo: 7.133e-06
Tiempo: 7.142e-06
Tiempo: 7.151e-06
Tiempo: 7.145e-06
Tiempo: 7.133e-06
Tiempo: 7.157e-06
Tiempo: 7.133e-06
Tiempo: 7.139e-06
Tiempo: 6.5086e-05
Tiempo: 7.476e-06
Tiempo: 1.7085e-05
Tiempo: 7.242e-06
Tiempo: 7.145e-06
Tiempo: 7.214e-06
Tiempo: 7.139e-06
Tiempo: 7.133e-06
Tiempo: 7.19e-06
Tiempo: 7.127e-06
Tiempo: 7.133e-06
Tiempo: 7.19e-06
Tiempo: 7.13e-06
Tiempo: 7.133e-06
Tiempo: 7.205e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.19e-06
Tiempo: 7.145e-06
Tiempo: 7.133e-06
Tiempo: 7.19e-06
Tiempo: 7.13e-06
Tiempo: 7.127e-06
Tiempo: 7.19e-06
Tiempo: 7.133e-06
Tiempo: 7.13e-06
Tiempo: 7.193e-06
Tiempo: 7.133e-06
Tiempo: 7.13e-06
Tiempo: 7.193e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.19e-06
Tiempo: 7.133e-06
Tiempo: 7.133e-06
Tiempo: 7.19e-06
Tiempo: 7.133e-06
Tiempo: 7.127e-06
Tiempo: 7.194e-06
Tiempo: 7.133e-06
Tiempo: 7.133e-06
Tiempo: 7.193e-06
Tiempo: 7.13e-06
Tiempo: 7.133e-06
Tiempo: 7.193e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.193e-06
Tiempo: 7.127e-06
Tiempo: 7.127e-06
Tiempo: 7.193e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.193e-06
Tiempo: 7.13e-06
Tiempo: 7.133e-06
Tiempo: 7.19e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.19e-06
Tiempo: 7.133e-06
Tiempo: 7.133e-06
Tiempo: 7.19e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.19e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.193e-06
Tiempo: 7.13e-06
Tiempo: 7.127e-06
Tiempo: 7.193e-06
Tiempo: 7.133e-06
Tiempo: 7.133e-06
Tiempo: 7.193e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.193e-06
Tiempo: 7.13e-06
Tiempo: 7.133e-06
Tiempo: 7.194e-06
Tiempo: 7.133e-06
Tiempo: 7.13e-06
Tiempo: 7.194e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.193e-06
Tiempo: 7.13e-06
Tiempo: 7.13e-06
Tiempo: 7.187e-06
Tiempo: 7.13e-06
Tiempo: 7.127e-06
Tiempo: 7.193e-06
Tiempo: 7.133e-06
Tiempo: 7.13e-06
Tiempo: 7.715e-06
Tiempo: 7.217e-06
Tiempo: 7.184e-06
Tiempo: 7.217e-06
Tiempo: 7.157e-06
Tiempo: 7.158e-06
Tiempo: 7.208e-06
Tiempo: 7.157e-06
Tiempo: 7.164e-06
Tiempo: 7.202e-06
Tiempo: 7.157e-06
Tiempo: 7.164e-06
Tiempo: 7.202e-06
Tiempo: 7.154e-06
Tiempo: 7.157e-06
Tiempo: 7.205e-06
Tiempo: 7.154e-06
Tiempo: 7.157e-06
Tiempo: 7.223e-06
Tiempo: 7.157e-06
Tiempo: 7.148e-06
Tiempo: 7.202e-06
Tiempo: 7.172e-06
Tiempo: 7.151e-06
