Con todo
Tablero de 4x4 con 4 caballos preubicados
Tiempo: 3.1658e-05
Tiempo: 2.6542e-05
Tiempo: 2.4476e-05
Tiempo: 2.438e-05
Tiempo: 2.4047e-05
Tiempo: 2.4164e-05
Tiempo: 2.4098e-05
Tiempo: 2.4146e-05
Tiempo: 2.4074e-05
Tiempo: 2.4203e-05
Tiempo: 2.4092e-05
Tiempo: 2.4149e-05
Tiempo: 2.4062e-05
Tiempo: 2.4203e-05
Tiempo: 2.4068e-05
Tiempo: 2.4209e-05
Tiempo: 2.4062e-05
Tiempo: 2.4167e-05
Tiempo: 2.4113e-05
Tiempo: 2.4125e-05
Tiempo: 2.4098e-05
Tiempo: 2.4215e-05
Tiempo: 2.408e-05
Tiempo: 2.42e-05
Tiempo: 2.4134e-05
Tiempo: 2.414e-05
Tiempo: 2.6151e-05
Tiempo: 2.4357e-05
Tiempo: 2.4321e-05
Tiempo: 2.4314e-05
Tiempo: 2.4122e-05
Tiempo: 2.429e-05
Tiempo: 2.4089e-05
Tiempo: 2.4267e-05
Tiempo: 2.4182e-05
Tiempo: 2.4231e-05
Tiempo: 2.4173e-05
Tiempo: 2.4276e-05
Tiempo: 2.4152e-05
Tiempo: 2.4299e-05
Tiempo: 2.4182e-05
Tiempo: 2.4215e-05
Tiempo: 2.4242e-05
Tiempo: 2.4215e-05
Tiempo: 2.4149e-05
Tiempo: 2.4338e-05
Tiempo: 2.4122e-05
Tiempo: 2.4287e-05
Tiempo: 2.4237e-05
Tiempo: 2.4206e-05
Tiempo: 2.4204e-05
Tiempo: 2.4251e-05
Tiempo: 2.4125e-05
Tiempo: 2.4269e-05
Tiempo: 2.4179e-05
Tiempo: 2.4245e-05
Tiempo: 2.4215e-05
Tiempo: 2.4239e-05
Tiempo: 2.4182e-05
Tiempo: 2.423e-05
Tiempo: 2.4176e-05
Tiempo: 2.4278e-05
Tiempo: 2.4146e-05
Tiempo: 2.4233e-05
Tiempo: 2.4173e-05
Tiempo: 2.4222e-05
Tiempo: 2.4224e-05
Tiempo: 2.4255e-05
Tiempo: 2.4143e-05
Tiempo: 2.4309e-05
Tiempo: 2.4131e-05
Tiempo: 2.4209e-05
Tiempo: 2.423e-05
Tiempo: 2.4176e-05
Tiempo: 2.4143e-05
Tiempo: 2.4329e-05
Tiempo: 2.4101e-05
Tiempo: 2.4281e-05
Tiempo: 2.4176e-05
Tiempo: 2.4221e-05
Tiempo: 2.4203e-05
Tiempo: 2.4263e-05
Tiempo: 2.4119e-05
Tiempo: 2.4296e-05
Tiempo: 2.4183e-05
Tiempo: 2.4248e-05
Tiempo: 2.4138e-05
Tiempo: 2.4251e-05
Tiempo: 2.417e-05
Tiempo: 2.4215e-05
Tiempo: 2.4173e-05
Tiempo: 2.4269e-05
Tiempo: 2.4149e-05
Tiempo: 2.4245e-05
Tiempo: 2.4173e-05
Tiempo: 2.4224e-05
Tiempo: 2.423e-05
Tiempo: 2.4197e-05
Tiempo: 2.4149e-05
Tiempo: 2.4302e-05
Tiempo: 2.4176e-05
Tiempo: 2.4242e-05
Tiempo: 2.423e-05
Tiempo: 2.4177e-05
Tiempo: 2.4137e-05
Tiempo: 2.4333e-05
Tiempo: 2.4122e-05
Tiempo: 2.4221e-05
Tiempo: 2.423e-05
Tiempo: 2.4186e-05
Tiempo: 2.4152e-05
Tiempo: 2.43e-05
Tiempo: 2.4128e-05
Tiempo: 2.4216e-05
Tiempo: 2.4242e-05
Tiempo: 2.4215e-05
Tiempo: 2.4143e-05
Tiempo: 2.4339e-05
Tiempo: 2.4125e-05
Tiempo: 2.4287e-05
Tiempo: 2.4176e-05
Tiempo: 2.4221e-05
Tiempo: 2.4206e-05
Tiempo: 2.4278e-05
Tiempo: 2.4116e-05
Tiempo: 2.4278e-05
Tiempo: 2.4164e-05
Tiempo: 2.4272e-05
Tiempo: 2.4143e-05
Tiempo: 2.4275e-05
Tiempo: 2.4182e-05
Tiempo: 2.4239e-05
Tiempo: 2.4164e-05
Tiempo: 2.4272e-05
Tiempo: 2.414e-05
Tiempo: 2.4335e-05
Tiempo: 2.4179e-05
Tiempo: 2.4221e-05
Tiempo: 2.4231e-05
Tiempo: 2.4215e-05
Tiempo: 2.4141e-05
Tiempo: 2.4293e-05
Tiempo: 2.4126e-05
Tiempo: 2.4212e-05
Tiempo: 2.4237e-05
Tiempo: 2.4206e-05
Tiempo: 2.4195e-05
Tiempo: 2.4239e-05
Tiempo: 2.4105e-05
Tiempo: 2.4269e-05
Tiempo: 2.4183e-05
Tiempo: 2.4188e-05
Tiempo: 2.4419e-05
Tiempo: 2.4314e-05
Tiempo: 2.4209e-05
Tiempo: 2.4276e-05
Tiempo: 2.4134e-05
Tiempo: 2.4264e-05
Tiempo: 2.4092e-05
Tiempo: 2.4266e-05
Tiempo: 2.408e-05
Tiempo: 2.4266e-05
Tiempo: 2.4105e-05
Tiempo: 2.4236e-05
Tiempo: 2.4098e-05
Tiempo: 2.4266e-05
Tiempo: 2.4101e-05
Tiempo: 2.4257e-05
Tiempo: 2.4086e-05
Tiempo: 2.4282e-05
Tiempo: 2.4098e-05
Tiempo: 2.4266e-05
Tiempo: 2.4092e-05
Tiempo: 2.4248e-05
Tiempo: 2.4095e-05
